,Iteration,ScenarioSystemID,InstallDate,InstallNumber,ScenarioID,SystemID,Cost,Timing,SystemComponentID,ComponentID,UsageBaselineYear,Config_Name (from Config_link),Calculation,System_Name (from _SystemID),UsageAnnualMultiplier,Usage,Year,TotalUsageY
80,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2037,0
81,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2038,0
82,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2039,0
83,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2040,0
84,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2041,0
85,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2042,0
86,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2043,0
87,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2044,0
88,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2045,0
89,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2046,0
90,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2047,0
91,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2048,0
92,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2049,0
93,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2050,0
94,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2051,0
95,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2052,0
96,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2053,0
97,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2054,0
98,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2055,0
99,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2056,0
100,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2057,0
101,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,256,85,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,3412.0,2058,0
102,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2025,0
103,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2026,0
104,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2027,0
105,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2028,0
106,0,1,2025,351,results_SAT_600_2025,41,1.0,Installation,257,86,2028,SAT Rack 600W,$/Index,SAT Rack 600W,1.0,5953.0,2029,0
